source_dataset,target_dataset,task,path
clean.tire24DailyPricing,ped.b2b,B2BTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2b/B2BTask.scala
clean.zero7zrPricing,ped.b2b,B2BTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2b/B2BTask.scala
clean.platformaOpon,ped.b2b,B2BTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2b/B2BTask.scala
clean.country,ped.b2b,B2BTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2b/B2BTask.scala
clean.tire24DailyPricing,ped.b2bDaily,B2BDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2bdaily/B2BDailyTask.scala
clean.zero7zrPricing,ped.b2bDaily,B2BDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2bdaily/B2BDailyTask.scala
clean.platformaOpon,ped.b2bDaily,B2BDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2bdaily/B2BDailyTask.scala
clean.country,ped.b2bDaily,B2BDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2bdaily/B2BDailyTask.scala
clean.lizeoWeeklyPricing,ped.b2c,B2CTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2c/B2CTask.scala
clean.knowtrexSinglePlatform,ped.b2c,B2CTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2c/B2CTask.scala
clean.knowtrexSinglePlatformV2,ped.b2c,B2CTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2c/B2CTask.scala
clean.country,ped.b2c,B2CTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2c/B2CTask.scala
clean.lizeoWeeklyPricing,ped.b2cDaily,B2CDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
clean.knowtrexSinglePlatform,ped.b2cDaily,B2CDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
clean.knowtrexSinglePlatformV2,ped.b2cDaily,B2CDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
clean.knowtrexMarketPlatform,ped.b2cDaily,B2CDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
clean.knowtrexMarketPlatformV2,ped.b2cDaily,B2CDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
clean.country,ped.b2cDaily,B2CDailyTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
clean.beadbarCodeEvent,ped.beadBarCode,BeadBarCodeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcode/BeadBarCodeTask.scala
clean.edwCustomers,ped.beadBarCode,BeadBarCodeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcode/BeadBarCodeTask.scala
mdm.countryHierarchy,ped.beadBarCode,BeadBarCodeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcode/BeadBarCodeTask.scala
clean.beadbarCodeScanLog,ped.beadBarCodeScanLog,BeadBarCodeAppTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcodeapp/BeadBarCodeAppTask.scala
clean.edwCustomers,ped.beadBarCodeScanLog,BeadBarCodeAppTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcodeapp/BeadBarCodeAppTask.scala
mdm.countryHierarchy,ped.beadBarCodeScanLog,BeadBarCodeAppTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcodeapp/BeadBarCodeAppTask.scala
mdm.marketShareConsumerReplacementSemester,ped.consumerMarketShareBasketSizeTypeCoverage,ConsumerMarketShareBasketSizeTypeCoverageTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharebasketsizetypecoverage/ConsumerMarketShareBasketSizeTypeCoverageTask.scala
clean.groupedToBasketSizeTypeMapping,ped.consumerMarketShareBasketSizeTypeCoverage,ConsumerMarketShareBasketSizeTypeCoverageTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharebasketsizetypecoverage/ConsumerMarketShareBasketSizeTypeCoverageTask.scala
mdm.marketShareConsumerReplacementSemester,ped.consumerMarketShareCoverage,ConsumerMarketShareCoverageTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharecoverage/ConsumerMarketShareCoverageTask.scala
ped.netSalesWeightingBasket2020SizeType,ped.consumerNetSalesBasketSizeTypeCoverage,ConsumerNetSalesBasketSizeTypeCoverageTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumernetsalesbasketsizetypecoverage/ConsumerNetSalesBasketSizeTypeCoverageTask.scala
